=== ТУРНИР: SMART VS PRIMITIVE (ТОЧНОЕ ВРЕМЯ) ===

--- ПАРТИЯ #1 ---
Ход 1   | SMART(W): [1,4]->[2,4] | Осталось: 59 сек
Ход 2   | PRIM(B) : [5,4]->[4,5] | Осталось: 239 сек
Ход 3   | SMART(W): [0,5]->[5,0] ⚔️ Съел: [Шашка] | Осталось: 59 сек
Ход 4   | PRIM(B) : [6,5]->[5,4] | Осталось: 239 сек
Ход 5   | SMART(W): [1,0]->[2,0] | Осталось: 58 сек
Ход 6   | PRIM(B) : [5,2]->[4,3] | Осталось: 239 сек
Ход 7   | SMART(W): [1,2]->[2,2] | Осталось: 57 сек
Ход 8   | PRIM(B) : [4,3]->[3,2] | Осталось: 239 сек
Ход 9   | SMART(W): [1,6]->[2,6] | Осталось: 56 сек
Ход 10  | PRIM(B) : [5,6]->[4,7] | Осталось: 239 сек
Ход 11  | SMART(W): [5,0]->[5,4] ⚔️ Съел: [Шашка] | Осталось: 56 сек
Ход 12  | PRIM(B) : [6,3]->[5,2] | Осталось: 239 сек
Ход 13  | SMART(W): [5,4]->[4,5] ⚔️ Съел: [Шашка] | Осталось: 56 сек
Ход 14  | PRIM(B) : [3,2]->[2,1] | Осталось: 239 сек
Ход 15  | SMART(W): [4,5]->[6,7] ⚔️ Съел: [Шашка] | Осталось: 55 сек
Ход 16  | PRIM(B) : [2,1]->[1,2] | Осталось: 239 сек
Ход 17  | SMART(W): [6,7]->[4,7] ⚔️ Съел: [Шашка] | Осталось: 55 сек
Ход 18  | PRIM(B) : [7,4]->[6,5] | Осталось: 239 сек
Ход 19  | SMART(W): [0,3]->[1,2] ⚔️ Съел: [Шашка] | Осталось: 55 сек
Ход 20  | PRIM(B) : [6,5]->[5,6] | Осталось: 239 сек
Ход 21  | SMART(W): [4,7]->[4,0] | Осталось: 55 сек
Ход 22  | PRIM(B) : [5,6]->[4,7] | Осталось: 239 сек
Ход 23  | SMART(W): [4,0]->[4,7] ⚔️ Съел: [Шашка] | Осталось: 55 сек
Ход 24  | PRIM(B) : [5,2]->[4,1] | Осталось: 239 сек
Ход 25  | SMART(W): [4,7]->[4,1] ⚔️ Съел: [Шашка] | Осталось: 55 сек
Ход 26  | PRIM(B) : [7,6]->[6,7] | Осталось: 239 сек
Ход 27  | SMART(W): [4,1]->[3,3] | Осталось: 55 сек
Ход 28  | PRIM(B) : [6,1]->[5,0] | Осталось: 239 сек
Ход 29  | SMART(W): [1,1]->[3,1] | Осталось: 54 сек
Ход 30  | PRIM(B) : [7,2]->[6,1] | Осталось: 239 сек
Ход 31  | SMART(W): [1,2]->[1,1] | Осталось: 54 сек
Ход 32  | PRIM(B) : [6,7]->[5,6] | Осталось: 239 сек
Ход 33  | SMART(W): [3,3]->[6,0] | Осталось: 54 сек
Ход 34  | PRIM(B) : [6,1]->[5,2] | Осталось: 239 сек
Ход 35  | SMART(W): [6,0]->[5,0] ⚔️ Съел: [Шашка] | Осталось: 54 сек
Ход 36  | PRIM(B) : [5,6]->[4,7] | Осталось: 239 сек
Ход 37  | SMART(W): [5,0]->[5,2] ⚔️ Съел: [Шашка] | Осталось: 54 сек
Ход 38  | PRIM(B) : [7,0]->[6,1] | Осталось: 239 сек
Ход 39  | SMART(W): [5,2]->[2,5] | Осталось: 54 сек
Ход 40  | PRIM(B) : [6,1]->[5,0] | Осталось: 239 сек
Ход 41  | SMART(W): [0,4]->[1,4] | Осталось: 54 сек
Ход 42  | PRIM(B) : [4,7]->[3,6] | Осталось: 239 сек
Ход 43  | SMART(W): [0,0]->[1,0] | Осталось: 54 сек
Ход 44  | PRIM(B) : [5,0]->[4,1] | Осталось: 239 сек
Ход 45  | SMART(W): [0,6]->[2,7] | Осталось: 54 сек
Ход 46  | PRIM(B) : [4,1]->[3,2] | Осталось: 239 сек
Ход 47  | SMART(W): [0,7]->[0,6] | Осталось: 54 сек
Ход 48  | PRIM(B) : [3,2]->[2,3] | Осталось: 239 сек
Ход 49  | SMART(W): [0,6]->[0,5] | Осталось: 54 сек
Ход 50  | PRIM(B) : [2,3]->[1,2] | Осталось: 239 сек
Ход 51  | SMART(W): [0,5]->[0,4] | Осталось: 54 сек
Ход 52  | PRIM(B) : [1,2]->[0,3] | Осталось: 239 сек
Ход 53  | SMART(W): [1,4]->[0,3] ⚔️ Съел: [Дамка] | Осталось: 54 сек
   [!] Штраф: потерян MORPHING_BISHOP (-10 сек). Осталось: 44 сек
